Date,ZAR,EUR,USD
16-01-2022,17.519616,1,1.141018
17-01-2022,17.561973,1,1.141025
18-01-2022,17.581948,1,1.133023
19-01-2022,17.385999,1,1.134308
20-01-2022,17.238906,1,1.131355
21-01-2022,17.132052,1,1.134475
22-01-2022,17.132052,1,1.134475
23-01-2022,17.112475,1,1.13404
24-01-2022,17.289847,1,1.132439
25-01-2022,17.279846,1,1.130329
26-01-2022,17.23087,1,1.124164
27-01-2022,17.201648,1,1.114461
28-01-2022,17.383279,1,1.114789
29-01-2022,17.383279,1,1.114789
30-01-2022,17.407026,1,1.114958
31-01-2022,17.270116,1,1.122952
01-02-2022,17.213869,1,1.12727
02-02-2022,17.334075,1,1.129873
03-02-2022,17.458073,1,1.143569
04-02-2022,17.701165,1,1.144945
05-02-2022,17.701165,1,1.144945
06-02-2022,17.689079,1,1.145429
07-02-2022,17.728002,1,1.143378
08-02-2022,17.546148,1,1.142015
09-02-2022,17.381059,1,1.142198
10-02-2022,17.31518,1,1.141418
11-02-2022,17.267983,1,1.13494
12-02-2022,17.270026,1,1.13494
13-02-2022,17.305185,1,1.136693
14-02-2022,17.08642,1,1.130563
15-02-2022,17.156681,1,1.135647
16-02-2022,17.095421,1,1.137333
17-02-2022,17.062189,1,1.136616
18-02-2022,17.115527,1,1.132241
19-02-2022,17.115527,1,1.132241
20-02-2022,17.125563,1,1.131663
21-02-2022,17.145886,1,1.130678
22-02-2022,17.074993,1,1.132933
23-02-2022,17.102888,1,1.130538
24-02-2022,17.202637,1,1.118942
25-02-2022,17.060219,1,1.127263
26-02-2022,17.075905,1,1.127263
27-02-2022,17.214087,1,1.11823
28-02-2022,17.243859,1,1.121554
01-03-2022,17.156967,1,1.113276
02-03-2022,17.038407,1,1.111333
03-03-2022,16.823343,1,1.106564
04-03-2022,16.879778,1,1.094769
05-03-2022,16.92462,1,1.094769
06-03-2022,16.700339,1,1.087074
07-03-2022,16.679453,1,1.086496
08-03-2022,16.658342,1,1.089657
09-03-2022,16.630523,1,1.107248
10-03-2022,16.579548,1,1.101382
11-03-2022,16.405684,1,1.091202
12-03-2022,16.405684,1,1.091202
13-03-2022,16.447856,1,1.093769
14-03-2022,16.561792,1,1.094487
15-03-2022,16.565824,1,1.0969
16-03-2022,16.442221,1,1.102232
17-03-2022,16.55738,1,1.109915
18-03-2022,16.434026,1,1.106255
19-03-2022,16.434026,1,1.106255
20-03-2022,16.515677,1,1.104179
21-03-2022,16.463797,1,1.101684
22-03-2022,16.343012,1,1.10284
23-03-2022,16.256159,1,1.100777
24-03-2022,15.986122,1,1.100921
25-03-2022,15.868399,1,1.098357
26-03-2022,16.011179,1,1.098357
27-03-2022,15.991138,1,1.098309
28-03-2022,16.12238,1,1.099348
29-03-2022,16.116487,1,1.109189
30-03-2022,16.17845,1,1.116109
31-03-2022,16.176611,1,1.107199
01-04-2022,16.118213,1,1.104845
02-04-2022,16.140486,1,1.104845
03-04-2022,16.198374,1,1.104545
04-04-2022,16.012381,1,1.09755
05-04-2022,16.026172,1,1.090691
06-04-2022,16.003531,1,1.089787
07-04-2022,16.017442,1,1.086367
08-04-2022,15.77805,1,1.087583
09-04-2022,15.77805,1,1.087583
10-04-2022,15.946354,1,1.088459
11-04-2022,15.867007,1,1.08776
12-04-2022,15.726451,1,1.082579
13-04-2022,15.849957,1,1.089621
14-04-2022,15.896762,1,1.082064
15-04-2022,15.837882,1,1.081438
16-04-2022,15.837882,1,1.081438
17-04-2022,15.851862,1,1.081484
18-04-2022,15.8153,1,1.078144
19-04-2022,16.164418,1,1.079412
20-04-2022,16.317237,1,1.084951
21-04-2022,16.679252,1,1.083482
22-04-2022,16.755846,1,1.079936
23-04-2022,16.769664,1,1.079936
24-04-2022,16.86959,1,1.081069
25-04-2022,16.824038,1,1.071387
26-04-2022,16.880135,1,1.064328
27-04-2022,16.780861,1,1.055476
28-04-2022,16.801447,1,1.050255
29-04-2022,16.619416,1,1.054463
30-04-2022,16.619416,1,1.054463
01-05-2022,16.655878,1,1.053563
02-05-2022,16.942797,1,1.050873
03-05-2022,16.599899,1,1.052743
04-05-2022,16.445822,1,1.062131
05-05-2022,16.857368,1,1.053941
06-05-2022,16.949523,1,1.054808
07-05-2022,16.949523,1,1.054808
08-05-2022,16.931456,1,1.05318
09-05-2022,17.15536,1,1.056546
10-05-2022,17.004371,1,1.053131
11-05-2022,16.917625,1,1.051215
12-05-2022,16.680721,1,1.037926
13-05-2022,16.832436,1,1.04107
14-05-2022,16.825937,1,1.04107
15-05-2022,16.811482,1,1.040031
16-05-2022,16.865813,1,1.043863
17-05-2022,16.784646,1,1.054752
18-05-2022,16.837152,1,1.047285
19-05-2022,16.75811,1,1.057865
20-05-2022,16.654421,1,1.056245
21-05-2022,16.654421,1,1.056245
22-05-2022,16.772784,1,1.056949
23-05-2022,16.867802,1,1.068171
24-05-2022,16.801635,1,1.07348
25-05-2022,16.811221,1,1.068628
26-05-2022,16.860887,1,1.07326
27-05-2022,16.711108,1,1.073532
28-05-2022,16.711108,1,1.073532
29-05-2022,16.73935,1,1.073111
30-05-2022,16.689609,1,1.077319
